match,teamInnings,bowlerName,overs,maidens,runs,wickets,noBalls,wides,economy
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Nosthush Kenjige,4,0,30,3,0,0,7.50
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Netravalkar,4,0,18,2,0,0,4.50
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Ali Khan,4,0,30,1,0,2,7.50
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Harmeet Singh,4,0,34,0,0,1,8.50
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Jasdeep Singh,3,0,37,1,0,1,12.30
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,CJ Anderson,1,0,6,0,0,0,6.00
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Shaheen Afridi,4,0,33,0,0,2,8.20
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Mohammad Amir,4,0,25,1,0,3,6.20
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Naseem Shah,4,0,26,1,0,2,6.50
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Haris Rauf,4,0,37,1,0,3,9.20
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Shadab Khan,3,0,27,0,0,1,9.00
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Iftikhar Ahmed,1,0,10,0,0,0,10.00
NAMIBIA vs SCOTLAND,SCOTLAND,Wheal,4,0,33,3,1,2,8.20
NAMIBIA vs SCOTLAND,SCOTLAND,Bradley Currie,4,0,16,2,0,0,4.00
NAMIBIA vs SCOTLAND,SCOTLAND,Christopher Sole,3,0,23,1,1,1,7.70
NAMIBIA vs SCOTLAND,SCOTLAND,Mark Watt,4,0,39,0,0,0,9.80
NAMIBIA vs SCOTLAND,SCOTLAND,Chris Greaves,3,0,24,1,0,0,8.00
NAMIBIA vs SCOTLAND,SCOTLAND,Michael Leask,2,0,16,1,0,0,8.00
NAMIBIA vs SCOTLAND,NAMIBIA,Ruben Trumpelmann,4,0,36,1,1,8,9.00
NAMIBIA vs SCOTLAND,NAMIBIA,David Wiese,3.3,0,30,0,0,0,8.60
NAMIBIA vs SCOTLAND,NAMIBIA,Tangeni Lungameni,3,0,39,1,0,1,13.00
NAMIBIA vs SCOTLAND,NAMIBIA,Bernard Scholtz,4,0,20,1,0,0,5.00
NAMIBIA vs SCOTLAND,NAMIBIA,Gerhard Erasmus (c),4,0,29,2,0,3,7.20
CANADA vs IRELAND,IRELAND,Mark Adair,4,0,23,1,0,1,5.80
CANADA vs IRELAND,IRELAND,Joshua Little,4,0,37,0,0,2,9.20
CANADA vs IRELAND,IRELAND,Craig Young,4,0,32,2,0,1,8.00
CANADA vs IRELAND,IRELAND,Barry McCarthy,4,0,24,2,0,0,6.00
CANADA vs IRELAND,IRELAND,Delany,2,0,10,1,0,0,5.00
CANADA vs IRELAND,IRELAND,Curtis Campher,2,0,11,0,0,1,5.50
CANADA vs IRELAND,CANADA,Kaleem Sana,4,0,38,0,0,3,9.50
CANADA vs IRELAND,CANADA,Jeremy Gordon,4,0,16,2,0,1,4.00
CANADA vs IRELAND,CANADA,Junaid Siddiqui,4,0,27,1,0,0,6.80
CANADA vs IRELAND,CANADA,Saad Bin Zafar (c),4,0,22,1,0,0,5.50
CANADA vs IRELAND,CANADA,Dillon Heyliger,4,0,18,2,0,1,4.50
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Boult,4,0,22,2,0,0,5.50
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Matt Henry,4,0,37,2,0,0,9.20
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Santner,4,0,24,0,0,0,6.00
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,M Bracewell,3,0,27,0,0,0,9.00
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Lockie Ferguson,4,0,28,1,0,0,7.00
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Daryl Mitchell,1,0,16,0,0,0,16.00
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Fazalhaq Farooqi,3.2,0,17,4,0,3,5.10
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Mohammad Nabi,4,0,16,2,0,0,4.00
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Naveen-ul-Haq,3,0,10,0,0,0,3.30
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Rashid Khan (c),4,0,17,4,0,2,4.20
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Noor Ahmad,1,0,10,0,0,0,10.00
SRI LANKA vs BANGLADESH,BANGLADESH,Tanzim Hasan Sakib,4,0,24,1,0,0,6.00
SRI LANKA vs BANGLADESH,BANGLADESH,Shakib,3,0,30,0,0,0,10.00
SRI LANKA vs BANGLADESH,BANGLADESH,Taskin Ahmed,4,0,25,2,0,1,6.20
SRI LANKA vs BANGLADESH,BANGLADESH,Mustafizur,4,0,17,3,0,1,4.20
SRI LANKA vs BANGLADESH,BANGLADESH,Rishad Hossain,4,0,22,3,0,0,5.50
SRI LANKA vs BANGLADESH,BANGLADESH,Mahmudullah,1,0,4,0,0,0,4.00
SRI LANKA vs BANGLADESH,SRI LANKA,Dhananjaya de Silva,2,0,11,1,0,1,5.50
SRI LANKA vs BANGLADESH,SRI LANKA,Nuwan Thushara,4,0,18,4,0,5,4.50
