match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
OMAN vs ENGLAND,OMAN,10,Kaleemullah,b Adil Rashid,5,5,1,0,100.00
OMAN vs ENGLAND,OMAN,11,Bilal Khan,not out,0,1,0,0,0.00
OMAN vs ENGLAND,ENGLAND,1,Philip Salt,b Bilal Khan,12,3,0,2,400.00
OMAN vs ENGLAND,ENGLAND,2,Jos Buttler (c & wk),not out,24,8,4,1,300.00
OMAN vs ENGLAND,ENGLAND,3,Will Jacks,c Kashyap b Kaleemullah,5,7,1,0,71.43
OMAN vs ENGLAND,ENGLAND,4,Jonny Bairstow,not out,8,2,2,0,400.00
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,1,Tony Ura,b Naveen-ul-Haq,11,18,1,0,61.11
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,2,Assad Vala (c),run out (Fazalhaq Farooqi/Gurbaz),3,2,0,0,150.00
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,3,Lega Siaka,c Gurbaz b Fazalhaq Farooqi,0,1,0,0,0.00
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,4,Sese Bau,c Gurbaz b Fazalhaq Farooqi,0,1,0,0,0.00
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,5,Hiri Hiri,b Naveen-ul-Haq,1,3,0,0,33.33
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,6,Chad Soper,run out (Noor Ahmad/Rashid Khan),9,26,0,0,34.62
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,7,Kiplin Doriga (wk),lbw b Noor Ahmad,27,32,2,0,84.38
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,8,Norman Vanua,run out (Rashid Khan),0,7,0,0,0.00
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,9,Alei Nao,c Rashid Khan b Fazalhaq Farooqi,13,19,2,0,68.42
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,10,John Kariko,not out,4,7,1,0,57.14
PAPUA NEW GUINEA vs AFGHANISTAN,PAPUA NEW GUINEA,11,Semo Kamea,run out (Gurbaz),2,3,0,0,66.67
PAPUA NEW GUINEA vs AFGHANISTAN,AFGHANISTAN,1,Rahmanullah Gurbaz (wk),b Alei Nao,11,7,1,1,157.14
PAPUA NEW GUINEA vs AFGHANISTAN,AFGHANISTAN,2,Ibrahim Zadran,b Semo Kamea,0,7,0,0,0.00
PAPUA NEW GUINEA vs AFGHANISTAN,AFGHANISTAN,3,Gulbadin Naib,not out,49,36,4,2,136.11
PAPUA NEW GUINEA vs AFGHANISTAN,AFGHANISTAN,4,Azmatullah Omarzai,b Norman Vanua,13,18,1,0,72.22
PAPUA NEW GUINEA vs AFGHANISTAN,AFGHANISTAN,5,Mohammad Nabi,not out,16,23,1,0,69.57
