image,player_name,team,role,batting_style,bowling_style
https://static.cricbuzz.com/a/img/v1/i1/c619869/kagiso-rabada.jpg?d=low&p=gthumb,"Kagiso Rabada
Bowler",South Africa,Bowler,Left Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c619871/tabraiz-shamsi.jpg?d=low&p=gthumb,"Tabraiz Shamsi
Bowler",South Africa,Bowler,Right Handed Bat,Left-arm wrist-spin
https://static.cricbuzz.com/a/img/v1/i1/c351889/pathum-nissanka.jpg?d=low&p=gthumb,"Pathum Nissanka
Batsman",Sri Lanka,Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c351873/charith-asalanka.jpg?d=low&p=gthumb,"Charith Asalanka
Batting Allrounder",Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c351878/dhananjaya-de-silva.jpg?d=low&p=gthumb,"Dhananjaya de Silva
Batting Allrounder",Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c170706/angelo-mathews.jpg?d=low&p=gthumb,"Angelo Mathews
Batting Allrounder",Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c717697/kamindu-mendis.jpg?d=low&p=gthumb,"Kamindu Mendis
Batting Allrounder",Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c351876/dasun-shanaka.jpg?d=low&p=gthumb,"Dasun Shanaka
Batting Allrounder",Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c244676/wanindu-hasaranga.jpg?d=low&p=gthumb,Wanindu Hasaranga,Sri Lanka,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
https://static.cricbuzz.com/a/img/v1/i1/c351882/dunith-wellalage.jpg?d=low&p=gthumb,"Dunith Wellalage
Bowling Allrounder",Sri Lanka,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c594291/kusal-mendis.jpg?d=low&p=gthumb,"Kusal Mendis
WK-Batsman",Sri Lanka,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c351890/sadeera-samarawickrama.jpg?d=low&p=gthumb,"Sadeera Samarawickrama
WK-Batsman",Sri Lanka,WK-Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c244665/dushmantha-chameera.jpg?d=low&p=gthumb,"Dushmantha Chameera
Bowler",Sri Lanka,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c351880/dilshan-madushanka.jpg?d=low&p=gthumb,"Dilshan Madushanka
Bowler",Sri Lanka,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c351888/matheesha-pathirana.jpg?d=low&p=gthumb,"Matheesha Pathirana
Bowler",Sri Lanka,Bowler,Right Handed Bat,Right-arm fast
https://static.cricbuzz.com/a/img/v1/i1/c594214/maheesh-theekshana.jpg?d=low&p=gthumb,"Maheesh Theekshana
Bowler",Sri Lanka,Bowler,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c226338/nuwan-thushara.jpg?d=low&p=gthumb,"Nuwan Thushara
Bowler",Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616418/kane-williamson.jpg?d=low&p=gthumb,Kane Williamson,New Zealand,Batsman,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c594254/finn-allen.jpg?d=low&p=gthumb,"Finn Allen
Batsman",New Zealand,Batsman,Right Handed Bat,
https://static.cricbuzz.com/a/img/v1/i1/c616435/mark-chapman.jpg?d=low&p=gthumb,"Mark Chapman
Batsman",New Zealand,Batsman,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616433/glenn-phillips.jpg?d=low&p=gthumb,"Glenn Phillips
Batting Allrounder",New Zealand,Batting Allrounder,Right Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c616430/michael-bracewell.jpg?d=low&p=gthumb,"Michael Bracewell
Batting Allrounder",New Zealand,Batting Allrounder,Left Handed Bat,Right-arm offbreak
https://static.cricbuzz.com/a/img/v1/i1/c616424/daryl-mitchell.jpg?d=low&p=gthumb,"Daryl Mitchell
Batting Allrounder",New Zealand,Batting Allrounder,Right Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c597793/james-neesham.jpg?d=low&p=gthumb,"James Neesham
Batting Allrounder",New Zealand,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c655385/rachin-ravindra.jpg?d=low&p=gthumb,"Rachin Ravindra
Batting Allrounder",New Zealand,Batting Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616427/mitchell-santner.jpg?d=low&p=gthumb,"Mitchell Santner
Bowling Allrounder",New Zealand,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
https://static.cricbuzz.com/a/img/v1/i1/c616434/devon-conway.jpg?d=low&p=gthumb,Devon Conway,New Zealand,WK-Batsman,Left Handed Bat,Right-arm medium
https://static.cricbuzz.com/a/img/v1/i1/c351612/trent-boult.jpg?d=low&p=gthumb,"Trent Boult
Bowler",New Zealand,Bowler,Right Handed Bat,Left-arm fast-medium
https://static.cricbuzz.com/a/img/v1/i1/c616422/lockie-ferguson.jpg?d=low&p=gthumb,"Lockie Ferguson
Bowler",New Zealand,Bowler,Right Handed Bat,Right-arm fast
