player_id,image,player_name,team,role,batting_style,bowling_style,role_clean,batting_style_clean,bowling_arm,bowling_type,player_name_clean
P288,https://static.cricbuzz.com/a/img/v1/i1/c351921/shoriful-islam.jpg?d=low&p=gthumb,Shoriful Islam,Bangladesh,Bowler,Left Handed Bat,Left-arm fast-medium,bowl,LHB,Left,fast-medium,shoriful islam
P289,https://static.cricbuzz.com/a/img/v1/i1/c616464/tanzim-hasan-sakib.jpg?d=low&p=gthumb,Tanzim Hasan Sakib,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,tanzim hasan sakib
P290,https://static.cricbuzz.com/a/img/v1/i1/c616440/babar-azam.jpg?d=low&p=gthumb,Babar Azam,Pakistan,Batsman,Right Handed Bat,Right-arm offbreak,bat,RHB,Right,offbreak,babar azam
P291,https://static.cricbuzz.com/a/img/v1/i1/c616447/fakhar-zaman.jpg?d=low&p=gthumb,Fakhar Zaman,Pakistan,Batsman,Left Handed Bat,Left-arm orthodox,bat,LHB,Left,orthodox,fakhar zaman
P292,https://static.cricbuzz.com/a/img/v1/i1/c352421/iftikhar-ahmed.jpg?d=low&p=gthumb,Iftikhar Ahmed,Pakistan,Batting Allrounder,Right Handed Bat,Right-arm offbreak,ar,RHB,Right,offbreak,iftikhar ahmed
P293,https://static.cricbuzz.com/a/img/v1/i1/c779860/saim-ayub.jpg?d=low&p=gthumb,Saim Ayub,Pakistan,Batting Allrounder,Left Handed Bat,Right-arm offbreak,ar,LHB,Right,offbreak,saim ayub
P294,https://static.cricbuzz.com/a/img/v1/i1/c170782/imad-wasim.jpg?d=low&p=gthumb,Imad Wasim,Pakistan,Bowling Allrounder,Left Handed Bat,Left-arm orthodox,ar,LHB,Left,orthodox,imad wasim
P295,https://static.cricbuzz.com/a/img/v1/i1/c352424/shadab-khan.jpg?d=low&p=gthumb,Shadab Khan,Pakistan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak,ar,RHB,Right,legbreak,shadab khan
P296,https://static.cricbuzz.com/a/img/v1/i1/c182026/azam-khan.jpg?d=low&p=gthumb,Azam Khan WK-,Pakistan,WK-Batsman,Right Handed Bat,,wk,RHB,,,azam khan
P297,https://static.cricbuzz.com/a/img/v1/i1/c616445/mohammad-rizwan.jpg?d=low&p=gthumb,Mohammad Rizwan WK-,Pakistan,WK-Batsman,Right Handed Bat,,wk,RHB,,,mohammad rizwan
P298,https://static.cricbuzz.com/a/img/v1/i1/c616437/usman-khan.jpg?d=low&p=gthumb,Usman Khan WK-,Pakistan,WK-Batsman,Right Handed Bat,Right-arm offbreak,wk,RHB,Right,offbreak,usman khan
P299,https://static.cricbuzz.com/a/img/v1/i1/c616450/abrar-ahmed.jpg?d=low&p=gthumb,Abrar Ahmed,Pakistan,Bowler,Right Handed Bat,Right-arm legbreak,bowl,RHB,Right,legbreak,abrar ahmed
P300,https://static.cricbuzz.com/a/img/v1/i1/c616449/haris-rauf.jpg?d=low&p=gthumb,Haris Rauf,Pakistan,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,haris rauf
P301,https://static.cricbuzz.com/a/img/v1/i1/c582350/abbas-afridi.jpg?d=low&p=gthumb,Abbas Afridi,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium,bowl,RHB,Right,fast-medium,abbas afridi
P302,https://static.cricbuzz.com/a/img/v1/i1/c170813/mohammad-amir.jpg?d=low&p=gthumb,Mohammad Amir,Pakistan,Bowler,Left Handed Bat,Left-arm fast-medium,bowl,LHB,Left,fast-medium,mohammad amir
P303,https://static.cricbuzz.com/a/img/v1/i1/c616439/naseem-shah.jpg?d=low&p=gthumb,Naseem Shah,Pakistan,Bowler,Right Handed Bat,Right-arm fast,bowl,RHB,Right,fast,naseem shah
P304,https://static.cricbuzz.com/a/img/v1/i1/c616446/shaheen-afridi.jpg?d=low&p=gthumb,Shaheen Afridi,Pakistan,Bowler,Left Handed Bat,Left-arm fast-medium,bowl,LHB,Left,fast-medium,shaheen afridi
