match_name,team,player_name,overs,maidens,runs,wickets,no_balls,wides,economy,player_name_clean,team_clean,player_id
IRELAND vs INDIA,IRELAND,Joshua Little,4,0,42,0,0,3,10.5,joshua little,IRE,P27
IRELAND vs INDIA,IRELAND,Barry McCarthy,2.2,0,18,0,0,0,7.7,barry mccarthy,IRE,P28
IRELAND vs INDIA,IRELAND,Curtis Campher,1,0,4,0,0,0,4,curtis campher,IRE,P21
IRELAND vs INDIA,IRELAND,Benjamin White,1,0,6,1,0,0,6,benjamin white,IRE,P30
PAPUA NEW GUINEA vs UGANDA,UGANDA,Alpesh Ramjani,4,1,17,2,0,0,4.2,alpesh ramjani,UGA,P220
PAPUA NEW GUINEA vs UGANDA,UGANDA,Cosmas Kyewuta,3.1,0,17,2,0,0,5.4,cosmas kyewuta,UGA,P225
PAPUA NEW GUINEA vs UGANDA,UGANDA,Juma Miyagi,4,0,10,2,1,0,2.5,juma miyagi,UGA,P226
PAPUA NEW GUINEA vs UGANDA,UGANDA,Masaba (c),4,0,17,1,0,0,4.2,brian masaba,UGA,P223
PAPUA NEW GUINEA vs UGANDA,UGANDA,Nsubuga,4,2,4,2,0,0,1,frank nsubuga,UGA,P227
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Alei Nao,4,0,16,2,0,7,4,alei nao,PNG,P238
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Norman Vanua,4,0,19,2,0,7,4.8,norman vanua,PNG,P242
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Chad Soper,4,0,13,1,0,1,3.2,chad soper,PNG,P239
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Assad Vala (c),2,0,10,1,0,0,5,assad vala,PNG,P232
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,John Kariko,4,0,18,0,0,0,4.5,john kariko,PNG,P240
PAPUA NEW GUINEA vs UGANDA,PAPUA NEW GUINEA,Charles Amini,0.2,0,2,0,0,0,6,charles amini,PNG,P233
AUSTRALIA vs OMAN,OMAN,Bilal Khan,4,0,36,1,1,1,9,bilal khan,OMN,P118
AUSTRALIA vs OMAN,OMAN,Kaleemullah,3,0,30,1,0,0,10,kaleemullah,OMN,P120
AUSTRALIA vs OMAN,OMAN,Shakeel Ahmed,4,0,28,0,1,0,7,shakeel ahmed,OMN,P117
AUSTRALIA vs OMAN,OMAN,Mehran Khan,4,0,38,2,1,0,9.5,mehran khan,OMN,P108
AUSTRALIA vs OMAN,OMAN,Aqib Ilyas (c),4,0,18,0,0,0,4.5,aqib ilyas,OMN,P110
AUSTRALIA vs OMAN,OMAN,Zeeshan Maqsood,1,0,12,0,0,0,12,zeeshan maqsood,OMN,P111
AUSTRALIA vs OMAN,AUSTRALIA,Mitchell Starc,3,0,20,2,0,5,6.7,mitchell starc,AUS,P89
AUSTRALIA vs OMAN,AUSTRALIA,Josh Hazlewood,4,0,21,0,0,0,5.2,josh hazlewood,AUS,P88
AUSTRALIA vs OMAN,AUSTRALIA,Nathan Ellis,4,0,28,2,0,1,7,nathan ellis,AUS,P87
AUSTRALIA vs OMAN,AUSTRALIA,Marcus Stoinis,3,0,19,3,0,1,6.3,marcus stoinis,AUS,P82
AUSTRALIA vs OMAN,AUSTRALIA,Glenn Maxwell,2,0,11,0,0,1,5.5,glenn maxwell,AUS,P81
AUSTRALIA vs OMAN,AUSTRALIA,Adam Zampa,4,0,24,2,0,0,6,adam zampa,AUS,P90
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Nosthush Kenjige,4,0,30,3,0,0,7.5,nosthush kenjige,USA,P74
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Netravalkar,4,0,18,2,0,0,4.5,saurabh netravalkar,USA,P75
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Ali Khan,4,0,30,1,0,2,7.5,ali khan,USA,P72
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Harmeet Singh,4,0,34,0,0,1,8.5,harmeet singh,USA,P66
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,Jasdeep Singh,3,0,37,1,0,1,12.3,jasdeep singh,USA,P73
PAKISTAN vs UNITED STATES OF AMERICA,UNITED STATES OF AMERICA,CJ Anderson,1,0,6,0,0,0,6,corey anderson,USA,P65
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Shaheen Afridi,4,0,33,0,0,2,8.2,shaheen afridi,PAK,P304
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Mohammad Amir,4,0,25,1,0,3,6.2,mohammad amir,PAK,P302
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Naseem Shah,4,0,26,1,0,2,6.5,naseem shah,PAK,P303
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Haris Rauf,4,0,37,1,0,3,9.2,haris rauf,PAK,P300
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Shadab Khan,3,0,27,0,0,1,9,shadab khan,PAK,P295
PAKISTAN vs UNITED STATES OF AMERICA,PAKISTAN,Iftikhar Ahmed,1,0,10,0,0,0,10,iftikhar ahmed,PAK,P292
NAMIBIA vs SCOTLAND,SCOTLAND,Wheal,4,0,33,3,1,2,8.2,brad wheal,SCO,P104
NAMIBIA vs SCOTLAND,SCOTLAND,Bradley Currie,4,0,16,2,0,0,4,brad currie,SCO,P105
NAMIBIA vs SCOTLAND,SCOTLAND,Christopher Sole,3,0,23,1,1,1,7.7,christopher sole,SCO,P102
NAMIBIA vs SCOTLAND,SCOTLAND,Mark Watt,4,0,39,0,0,0,9.8,mark watt,SCO,P103
NAMIBIA vs SCOTLAND,SCOTLAND,Chris Greaves,3,0,24,1,0,0,8,chris greaves,SCO,P100
NAMIBIA vs SCOTLAND,SCOTLAND,Michael Leask,2,0,16,1,0,0,8,michael leask,SCO,P95
NAMIBIA vs SCOTLAND,NAMIBIA,Ruben Trumpelmann,4,0,36,1,1,8,9,ruben trumpelmann,NAM,P254
NAMIBIA vs SCOTLAND,NAMIBIA,David Wiese,3.3,0,30,0,0,0,8.6,david wiese,NAM,P249
NAMIBIA vs SCOTLAND,NAMIBIA,Tangeni Lungameni,3,0,39,1,0,1,13,tangeni lungameni,NAM,P257
NAMIBIA vs SCOTLAND,NAMIBIA,Bernard Scholtz,4,0,20,1,0,0,5,bernard scholtz,NAM,P258
NAMIBIA vs SCOTLAND,NAMIBIA,Gerhard Erasmus (c),4,0,29,2,0,3,7.2,gerhard erasmus,NAM,P246
CANADA vs IRELAND,IRELAND,Mark Adair,4,0,23,1,0,1,5.8,mark adair,IRE,P25
CANADA vs IRELAND,IRELAND,Joshua Little,4,0,37,0,0,2,9.2,joshua little,IRE,P27
CANADA vs IRELAND,IRELAND,Craig Young,4,0,32,2,0,1,8,craig young,IRE,P29
CANADA vs IRELAND,IRELAND,Barry McCarthy,4,0,24,2,0,0,6,barry mccarthy,IRE,P28
CANADA vs IRELAND,IRELAND,Delany,2,0,10,1,0,0,5,gareth delany,IRE,P20
CANADA vs IRELAND,IRELAND,Curtis Campher,2,0,11,0,0,1,5.5,curtis campher,IRE,P21
CANADA vs IRELAND,CANADA,Kaleem Sana,4,0,38,0,0,3,9.5,kaleem sana,CAN,P58
CANADA vs IRELAND,CANADA,Jeremy Gordon,4,0,16,2,0,1,4,jeremy gordon,CAN,P57
CANADA vs IRELAND,CANADA,Junaid Siddiqui,4,0,27,1,0,0,6.8,junaid siddiqui,CAN,P50
CANADA vs IRELAND,CANADA,Saad Bin Zafar (c),4,0,22,1,0,0,5.5,saad bin zafar,CAN,P54
CANADA vs IRELAND,CANADA,Dillon Heyliger,4,0,18,2,0,1,4.5,dilon heyliger,CAN,P56
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Boult,4,0,22,2,0,0,5.5,trent boult,NZ,P161
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Matt Henry,4,0,37,2,0,0,9.2,matt henry,NZ,P163
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Santner,4,0,24,0,0,0,6,mitchell santner,NZ,P159
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,M Bracewell,3,0,27,0,0,0,9,michael bracewell,NZ,P155
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Lockie Ferguson,4,0,28,1,0,0,7,lockie ferguson,NZ,P162
AFGHANISTAN vs NEW ZEALAND,NEW ZEALAND,Daryl Mitchell,1,0,16,0,0,0,16,daryl mitchell,NZ,P156
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Fazalhaq Farooqi,3.2,0,17,4,0,3,5.1,fazalhaq farooqi,AFG,P180
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Mohammad Nabi,4,0,16,2,0,0,4,mohammad nabi,AFG,P171
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Naveen-ul-Haq,3,0,10,0,0,0,3.3,naveen-ul-haq,AFG,P179
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Rashid Khan (c),4,0,17,4,0,2,4.2,rashid khan,AFG,P172
AFGHANISTAN vs NEW ZEALAND,AFGHANISTAN,Noor Ahmad,1,0,10,0,0,0,10,noor ahmad,AFG,P178
SRI LANKA vs BANGLADESH,BANGLADESH,Tanzim Hasan Sakib,4,0,24,1,0,0,6,tanzim hasan sakib,BAN,P289
SRI LANKA vs BANGLADESH,BANGLADESH,Shakib,3,0,30,0,0,0,10,shakib al hasan,BAN,P279
SRI LANKA vs BANGLADESH,BANGLADESH,Taskin Ahmed,4,0,25,2,0,1,6.2,taskin ahmed,BAN,P284
SRI LANKA vs BANGLADESH,BANGLADESH,Mustafizur,4,0,17,3,0,1,4.2,mustafizur rahman,BAN,P287
SRI LANKA vs BANGLADESH,BANGLADESH,Rishad Hossain,4,0,22,3,0,0,5.5,rishad hossain,BAN,P286
SRI LANKA vs BANGLADESH,BANGLADESH,Mahmudullah,1,0,4,0,0,0,4,mahmudullah,BAN,P280
SRI LANKA vs BANGLADESH,SRI LANKA,Dhananjaya de Silva,2,0,11,1,0,1,5.5,dhananjaya de silva,SL,P138
SRI LANKA vs BANGLADESH,SRI LANKA,Nuwan Thushara,4,0,18,4,0,5,4.5,nuwan thushara,SL,P150
SRI LANKA vs BANGLADESH,SRI LANKA,Maheesh Theekshana,4,0,25,0,0,3,6.2,maheesh theekshana,SL,P149
SRI LANKA vs BANGLADESH,SRI LANKA,Wanindu Hasaranga (c),4,0,32,2,0,0,8,wanindu hasaranga,SL,P142
SRI LANKA vs BANGLADESH,SRI LANKA,Matheesha Pathirana,4,0,27,1,0,2,6.8,matheesha pathirana,SL,P148
SRI LANKA vs BANGLADESH,SRI LANKA,Dasun Shanaka,1,0,11,0,0,1,11,dasun shanaka,SL,P141
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Marco Jansen,4,0,20,2,1,1,5,marco jansen,RSA,P124
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Rabada,4,0,27,0,0,1,6.8,kagiso rabada,RSA,P134
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Ottneil Baartman,4,0,11,4,0,1,2.8,ottneil baartman,RSA,P129
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Nortje,4,0,19,2,1,1,4.8,anrich nortje,RSA,P133
NETHERLANDS vs SOUTH AFRICA,SOUTH AFRICA,Maharaj,4,0,24,0,0,1,6,keshav maharaj,RSA,P132
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Vivian Kingma,4,1,12,2,0,1,3,vivian kingma,NED,P273
NETHERLANDS vs SOUTH AFRICA,NETHERLANDS,Logan van Beek,4,1,21,2,0,0,5.2,logan van beek,NED,P270
