match_name,team,batting_pos,player_name,dismissal,runs,balls,fours,sixes,strike_rate,player_name_clean,team_clean,player_id
PAKISTAN vs UNITED STATES OF AMERICA,Pakistan,9,Haris Rauf,not out,3,3,0,0,100,haris rauf,PAK,P300
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,1,Steven Taylor,c Rizwan b Naseem Shah,12,16,1,0,75,steven taylor,USA,P64
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,2,Monank Patel (c & wk),c Rizwan b Amir,50,38,7,1,131.58,monank patel,USA,P69
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,3,Andries Gous,b Haris Rauf,35,26,5,1,134.62,andries gous,USA,P70
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,4,Aaron Jones,not out,36,26,2,2,138.46,aaron jones,USA,P61
PAKISTAN vs UNITED STATES OF AMERICA,United States Of America,5,Nitish Kumar,not out,14,14,1,0,100,nitish kumar,USA,P62
NAMIBIA vs SCOTLAND,Namibia,1,Kotze,c Brandon McMullen b Wheal,0,3,0,0,0,jp kotze,NAM,P253
NAMIBIA vs SCOTLAND,Namibia,2,Niko Davin,c Bradley Currie b Christopher Sole,20,12,4,0,166.67,nikolaas davin,NAM,P244
NAMIBIA vs SCOTLAND,Namibia,3,Jan Frylinck,b Bradley Currie,12,14,2,0,85.71,jan frylinck,NAM,P248
NAMIBIA vs SCOTLAND,Namibia,4,Gerhard Erasmus (c),st Matthew Cross b Michael Leask,52,31,5,2,167.74,gerhard erasmus,NAM,P246
NAMIBIA vs SCOTLAND,Namibia,5,Malan Kruger,c Michael Jones b Chris Greaves,2,8,0,0,25,malan kruger,NAM,P245
NAMIBIA vs SCOTLAND,Namibia,6,Zane Green,c Michael Jones b Wheal,28,27,1,1,103.7,zane green,NAM,P252
NAMIBIA vs SCOTLAND,Namibia,7,Wiese,c Mark Watt b Wheal,14,13,0,1,107.69,david wiese,NAM,P249
NAMIBIA vs SCOTLAND,Namibia,8,Trumpelmann,c Wheal b Bradley Currie,1,2,0,0,50,ruben trumpelmann,NAM,P254
NAMIBIA vs SCOTLAND,Namibia,9,Smit,run out (Michael Jones/Wheal),11,8,0,1,137.5,jj smit,NAM,P251
NAMIBIA vs SCOTLAND,Namibia,10,Bernard Scholtz,not out,6,4,0,0,150,bernard scholtz,NAM,P258
NAMIBIA vs SCOTLAND,Namibia,11,Tangeni Lungameni,not out,0,0,0,0,0,tangeni lungameni,NAM,P257
NAMIBIA vs SCOTLAND,Scotland,1,George Munsey,c Wiese b Tangeni Lungameni,7,15,0,0,46.67,george munsey,SCO,P92
NAMIBIA vs SCOTLAND,Scotland,2,Michael Jones,c Zane Green b Gerhard Erasmus,26,20,3,1,130,michael jones,SCO,P91
NAMIBIA vs SCOTLAND,Scotland,3,Brandon McMullen,st Zane Green b Gerhard Erasmus,19,17,2,0,111.76,brandon mcmullen,SCO,P96
NAMIBIA vs SCOTLAND,Scotland,4,Richie Berrington (c),not out,47,35,2,2,134.29,richie berrington,SCO,P94
NAMIBIA vs SCOTLAND,Scotland,5,Matthew Cross,lbw b Bernard Scholtz,3,5,0,0,60,matthew cross,SCO,P98
NAMIBIA vs SCOTLAND,Scotland,6,Michael Leask,c Wiese b Trumpelmann,35,17,0,4,205.88,michael leask,SCO,P95
NAMIBIA vs SCOTLAND,Scotland,7,Chris Greaves,not out,4,3,0,0,133.33,chris greaves,SCO,P100
CANADA vs IRELAND,Canada,1,Aaron Johnson,c Curtis Campher b Craig Young,14,13,3,0,107.69,aaron johnson,CAN,P46
CANADA vs IRELAND,Canada,2,Navneet Dhaliwal,c Dockrell b Mark Adair,6,10,1,0,60,navneet dhaliwal,CAN,P51
CANADA vs IRELAND,Canada,3,Pargat Singh,c Joshua Little b Craig Young,18,14,2,0,128.57,pargat singh,CAN,P49
CANADA vs IRELAND,Canada,4,Dilpreet Bajwa,c and b Delany,7,9,1,0,77.78,dilpreet bajwa,CAN,P53
CANADA vs IRELAND,Canada,5,Nicholas Kirton,c Balbirnie b Barry McCarthy,49,35,3,2,140,nicholas kirton,CAN,P48
CANADA vs IRELAND,Canada,6,Shreyas Movva,run out (Barry McCarthy/Lorcan Tucker),37,36,3,0,102.78,shreyas movva,CAN,P55
CANADA vs IRELAND,Canada,7,Dillon Heyliger,c Joshua Little b Barry McCarthy,0,2,0,0,0,dilon heyliger,CAN,P56
